Date,Investment,Transaction Type,Amount,Shares/Unit,Purchase Price,Shares,Type
9/1/2011,MCMYX,Exchanges,"-1,355.14",-57.348,23.63011788,57.348,sell
5/11/2011,FSEVX,Exchanges,2.22,0.054,41.11111111,0.054,sell
5/11/2011,FCPGX,Exchanges,-146.33,-8.434,17.35001186,8.434,sell
5/11/2011,FRESX,Exchanges,-189.58,-6.659,28.4697402,6.659,sell
5/11/2011,FIGRX,Exchanges,115.27,3.358,34.32698035,3.358,sell
5/11/2011,FFFFX,Exchanges,60.19,7.131,8.440611415,7.131,sell
5/11/2011,NYVTX,Exchanges,109.82,3.044,36.07752957,3.044,sell
5/11/2011,RMCVX,Exchanges,-66.77,-7.783,8.578954131,7.783,sell
5/11/2011,MCMYX,Exchanges,416.5,15.508,26.85710601,15.508,sell
5/11/2011,PVADX,Exchanges,-150.86,-4.9,30.7877551,4.9,sell
5/11/2011,RBGLX,Exchanges,-150.46,-10.701,14.06036819,10.701,sell
1/25/2011,FSEVX,Exchanges,"1,286.54",33.409,38.50878506,33.409,sell
1/25/2011,FCPGX,Exchanges,390.18,24.963,15.63033289,24.963,sell
1/25/2011,FRESX,Exchanges,153.7,5.882,26.13056783,5.882,sell
1/25/2011,FIGRX,Exchanges,-198.03,-5.954,33.25999328,5.954,sell
1/25/2011,FFFFX,Exchanges,10.23,1.256,8.144904459,1.256,sell
1/25/2011,NYVTX,Exchanges,-327.64,-9.385,34.91102824,9.385,sell
1/25/2011,RMCVX,Exchanges,"-1,391.53",-174.596,7.969999313,174.596,sell
1/25/2011,MCMYX,Exchanges,857.79,35.012,24.49988575,35.012,sell
1/25/2011,PVADX,Exchanges,39.27,1.366,28.74816984,1.366,sell
1/25/2011,RBGLX,Exchanges,-820.51,-58.903,13.92985077,58.903,sell
6/11/2010,FCPGX,Exchanges,-22.23,-1.722,12.90940767,1.722,sell
6/11/2010,FRESX,Exchanges,-382.19,-16.814,22.73046271,16.814,sell
6/11/2010,FIGRX,Exchanges,255.69,9.439,27.08867465,9.439,sell
6/11/2010,FFFFX,Exchanges,47.99,6.915,6.939985539,6.915,sell
6/11/2010,NYVTX,Exchanges,90.94,3.028,30.0330251,3.028,sell
6/11/2010,RMCVX,Exchanges,27.08,4.154,6.519017814,4.154,sell
6/11/2010,PVADX,Exchanges,-147.89,-6.034,24.50944647,6.034,sell
6/11/2010,RBGLX,Exchanges,130.61,11.134,11.73073469,11.134,sell
2/19/2010,FCPGX,Exchanges,-46.24,-3.673,12.58916417,3.673,sell
2/19/2010,FRESX,Exchanges,-42.49,-2.118,20.06137866,2.118,sell
2/19/2010,FIGRX,Exchanges,214.45,7.453,28.7736482,7.453,sell
2/19/2010,FFFFX,Exchanges,30.43,4.292,7.089934762,4.292,sell
2/19/2010,NYVTX,Exchanges,-4.82,-0.157,30.70063694,0.157,sell
2/19/2010,RMCVX,Exchanges,-75.39,-11.474,6.570507234,11.474,sell
2/19/2010,PVADX,Exchanges,-107.96,-4.565,23.64950712,4.565,sell
2/19/2010,RBGLX,Exchanges,32.02,2.672,11.98353293,2.672,sell
12/9/2009,FCPGX,Exchanges,21.88,1.853,11.80787911,1.853,sell
12/9/2009,FRESX,Exchanges,-74.43,-3.861,19.27738928,3.861,sell
12/9/2009,FIGRX,Exchanges,35.96,1.208,29.76821192,1.208,sell
12/9/2009,FFFFX,Exchanges,9.83,1.369,7.180423667,1.369,sell
12/9/2009,NYVTX,Exchanges,18.57,0.621,29.90338164,0.621,sell
12/9/2009,RMCVX,Exchanges,31.44,4.983,6.309452137,4.983,sell
12/9/2009,PVADX,Exchanges,24.8,1.083,22.89935365,1.083,sell
12/9/2009,RBGLX,Exchanges,-68.05,-5.747,11.8409605,5.747,sell
12/1/2009,FBGRX,Exchanges,"-4,909.81",-133.564,36.75998023,133.564,sell
12/1/2009,RBGLX,Exchanges,"4,909.81",410.519,11.96000672,410.519,sell
10/9/2009,FCPGX,Exchanges,-249.69,-20.739,12.03963547,20.739,sell
10/9/2009,FRESX,Exchanges,473.68,25.413,18.63927911,25.413,sell
10/9/2009,FIGRX,Exchanges,-633.97,-21.062,30.10018042,21.062,sell
10/9/2009,FFFFX,Exchanges,200.3,28.171,7.110148735,28.171,sell
10/9/2009,FBGRX,Exchanges,-453.3,-12.787,35.45006647,12.787,sell
10/9/2009,NYVTX,Exchanges,754.46,25.292,29.82998577,25.292,sell
10/9/2009,RMCVX,Exchanges,283.25,44.817,6.320146373,44.817,sell
10/9/2009,PVADX,Exchanges,-374.73,-16.493,22.72054811,16.493,sell
10/13/2008,FRESX,Interest,6.45,0.313,20.60702875,0.313,buy
6/2/2014,RMCVX,RECORDKEEPING FEE,-2.87,-0.264,10.87121212,0.264,sell
3/3/2014,RMCVX,RECORDKEEPING FEE,-2.87,-0.267,10.74906367,0.267,sell
12/2/2013,RMCVX,RECORDKEEPING FEE,-2.87,-0.258,11.12403101,0.258,sell
9/3/2013,RMCVX,RECORDKEEPING FEE,-2.87,-0.278,10.32374101,0.278,sell
6/3/2013,RMCVX,RECORDKEEPING FEE,-2.87,-0.283,10.14134276,0.283,sell
3/1/2013,RMCVX,RECORDKEEPING FEE,-2.87,-0.309,9.28802589,0.309,sell
12/3/2012,RMCVX,RECORDKEEPING FEE,-2.87,-0.347,8.270893372,0.347,sell
